Sequence: 9SYS10103-3
Meter SN: 118240
Meter CAL Due Date:  3/06/2018
Operator: test ST Cable
DUT SN: WW
STATUS: PASS

FROM_TP,TO_TP,MIN,MAX,MEAS,UNITS,STATUS
P901-D,P902-1,NA,1,0.258077024,Ohms,P
P901-B,P902-B,NA,1,0.279469664,Ohms,P
P901-L,P902-L,NA,1,0.29183248,Ohms,P
P901-X,P902-X,NA,1,0.294844768,Ohms,P
P901-7,P902-7,NA,1,0.285191584,Ohms,P
P901-4,P902-4,NA,1,0.2755496,Ohms,P
P901-V,P902-V,NA,1,0.25897744,Ohms,P
P901-G,P902-G,NA,1,0.258357024,Ohms,P
P901-6,P902-6,NA,1,0.287007584,Ohms,P
P901-T,P902-T,NA,1,0.275548864,Ohms,P
P901-HI,P902-HI,NA,1,0.275548704,Ohms,P
P901-HI,P902-HC,OPEN,NA,9.9E+37,Ohms,P
P901-HI,P902-HO,OPEN,NA,9.9E+37,Ohms,P
P901-HC,P902-HC,NA,1,0.266206656,Ohms,P
P901-HC,P902-HO,OPEN,NA,9.9E+37,Ohms,P
P901-HO,P902-HO,NA,1,0.249314896,Ohms,P
P901-KI,P902-KI,NA,1,0.251415136,Ohms,P
P901-KI,P902-KC,OPEN,NA,9.9E+37,Ohms,P
P901-KI,P902-KO,OPEN,NA,9.9E+37,Ohms,P
P901-KC,P902-KC,NA,1,0.250819856,Ohms,P
P901-KC,P902-KO,OPEN,NA,9.9E+37,Ohms,P
P901-KO,P902-KO,NA,1,0.24176832,Ohms,P
P901-3,P902-C,NA,1,0.287920352,Ohms,P
P901-5,P902-D,NA,1,0.297260384,Ohms,P
P901-2,P902-F,NA,1,0.287290656,Ohms,P
P901-W,P902-E,NA,1,0.29212,Ohms,P
P901-J,P902-J,NA,1,0.277045728,Ohms,P
P901-M,P902-M,NA,1,0.270718464,Ohms,P
P901-P,P902-P,NA,1,0.253526096,Ohms,P
P901-Z,P902-Z,NA,1,0.245382176,Ohms,P
P901-S,P902-S,NA,1,0.24387512,Ohms,P
P901-SHIELD,P902-SHIELD,NA,1,0.233630256,Ohms,P
