Sequence: X3C3521
Meter SN: 118240
Meter CAL Due Date:  3/06/2018
Operator: test ST Cable
DUT SN: WW
STATUS: PASS

FROM_TP,TO_TP,MIN,MAX,MEAS,UNITS,STATUS
P6251DR2-B,P6254DR1-B,NA,1,0.25532344,Ohms,P
P6251DR2-A,P6254DR1-A,NA,1,0.298451744,Ohms,P
P6251DR2-L,P6254DR1-L,NA,1,0.318353856,Ohms,P
P6251DR2-P,P6254DR1-P,NA,1,0.276731616,Ohms,P
P6251DR2-N,P6254DR1-N,NA,1,0.279443008,Ohms,P
P6251DR2-M,P6254DR1-M,NA,1,0.275224672,Ohms,P
P6251DR2-H,P6254DR1-H,NA,1,0.269801568,Ohms,P
P6251DR2-G,P6254DR1-G,NA,1,0.269499744,Ohms,P
P6251DR2-F,P6254DR1-F,NA,1,0.293610528,Ohms,P
P6251DR2-J,P6254DR1-J,NA,1,0.275826048,Ohms,P
P6251DR2-T,P6254DR1-T,NA,1,0.282146464,Ohms,P
P6251DR2-S,P6254DR1-S,NA,1,0.260454624,Ohms,P
P6251DR2-C,P6254DR1-C,NA,1,0.255616304,Ohms,P
P6251DR2-D,P6254DR1-D,NA,1,0.268287616,Ohms,P
P6251DR2-E,P6254DR1-E,NA,1,0.255616368,Ohms,P
P6251DR2-K,P6254DR1-K,NA,1,0.24145648,Ohms,P
P6251DR2-U,P6254DR1-U,NA,1,0.288180992,Ohms,P
P6251DR2-SHLD,P6254DR1-SHLD,NA,1,0.30055104,Ohms,P
